ADT FN19/2022,,,Notification received date,,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by,
,,,,,,,,,,,05/09/2022,22/08/2022,05/09/2021,01/01/2022,21/06/2022,,,,19/09/2021,19/09/2016,,,
,,,,,,,,,,,18/09/2022,04/09/2022,18/09/2021,18/09/2022,18/09/2022,,,,18/09/2022,18/09/2021,,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 1 , 3 , 37 , 13 , 33.2 , 0.4 , -   , 53 , 138.4 , 0.4 , -   ,
,Hepatitis B (unspecified),052, 1 , 96 , 2 , 44 , 2 , 2 , 49 , 27 , 223 , 223 , 181 ," 3,901 "," 1,384 "," 1,336.2 ", 1.0 , -   ," 5,256 "," 5,431.2 ", 1.0 , -   ,
,Hepatitis C (newly acquired),040, -   , -   , -   , 7 , -   , -   , -   , -   , 7 , 18 , 30 , 353 , 112 , 170.0 , 0.7 , -   , 558 , 700.4 , 0.8 , -   ,
,Hepatitis C (unspecified),053, 3 , 117 , 3 , 51 , 1 , 7 , 43 , 39 , 264 , 268 , 255 ," 4,439 "," 1,682 "," 2,039.8 ", 0.8 , -   ," 6,232 "," 8,756.6 ", 0.7 , -   ,
,Hepatitis D,050, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 3 , -   , 44 , 11 , 19.2 , 0.6 , -   , 67 , 74.8 , 0.9 , -   ,
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 1 , 0.4 , 2.5 , -   , 6 , 1.4 , 4.3 , 1.9 ,
,Campylobacteriosis,005, 36 , 519 , 13 , 412 , 179 , 32 , 332 , 193 ," 1,716 "," 1,751 "," 1,176 "," 26,999 "," 10,276 "," 7,540.0 ", 1.4 , 824.4 ," 39,244 "," 33,089.2 ", 1.2 , -   ,
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   ,  , -   , 5 , 1.0 , 5.0 , 2.0 ,
,Cryptosporidiosis,061, 1 , 13 , -   , 15 , 13 , 1 , 32 , 15 , 90 , 62 , 37 ," 1,447 ", 452 , 419.6 , 1.1 , -   ," 1,912 "," 3,053.6 ", 0.6 , -   ,
,Haemolytic uraemic syndrome (HUS),055, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 4 , 2 , 3.4 , 0.6 , -   , 7 , 14.4 , 0.5 , -   ,
,Hepatitis A,038, -   , 3 , -   , -   , -   , 3 , 6 , 2 , 14 , 9 , 1 , 98 , 43 , 35.4 , 1.2 , -   , 108 , 209.0 , 0.5 , -   ,
,Hepatitis E,051, -   , -   , -   , 1 , 1 , -   , -   , -   , 2 , 2 , -   , 14 , 6 , 8.4 , 0.7 , -   , 14 , 40.8 , 0.3 , -   ,
,Listeriosis,018, -   , 1 , -   , 2 , -   , -   , -   , -   , 3 , 4 , 3 , 64 , 22 , 14.6 , 1.5 , 4.7 , 76 , 59.4 , 1.3 , -   ,
,Paratyphoid,080, -   , 2 , -   , -   , -   , -   , 1 , -   , 3 , 2 , -   , 37 , 14 , 6.6 , 2.1 , -   , 38 , 65.8 , 0.6 , -   ,
,Salmonellosis,030, 3 , 67 , 14 , 76 , 24 , 2 , 52 , 27 , 265 , 271 , 262 ," 7,586 "," 1,720 "," 2,149.2 ", 0.8 , -   ," 10,555 "," 13,892.2 ", 0.8 , -   ,
,Shigellosis,031, 2 , 25 , 2 , 18 , 8 , 1 , 15 , 4 , 75 , 74 , 13 , 832 , 404 , 411.8 , 1.0 , -   , 971 ," 1,956.8 ", 0.5 , -   ,
,"STEC""""",054, -   , 2 , -   , 2 , 19 , -   , 3 , 7 , 33 , 26 , 28 , 577 , 187 , 101.4 , 1.8 , 67.2 , 791 , 571.2 , 1.4 , 101.8 ,
,Typhoid Fever,035, -   , 1 , -   , -   , 4 , -   , 2 , 1 , 8 , 11 , 1 , 120 , 43 , 17.6 , 2.4 , -   , 125 , 130.6 , 1.0 , -   ,
Listed Human diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   ,
,COVID-19,081," 1,682 "," 35,627 ", 404 ," 3,598 "," 7,823 ", 309 ," 19,492 "," 13,002 ","81937"," 132,120 "," 23,935 "," 8,416,520 "," 1,973,676 "," 14,916.6 ", 132.3 ," 1,910,622.3 "," 8,769,798 "," 17,517.2 ", 500.6 ," 8,698,852.6 ",
,Middle East respiratory syndrome coronavirus (MERS-CoV),079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   ,
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   ,
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   ,
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   ,
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   ,
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   ,
Sexually transmissible infections,Chlamydial infection,007, 46 ," 1,053 ", 29 ," 1,019 ", 275 , 51 , 705 , 423 ," 3,601 "," 3,687 "," 3,052 "," 64,594 "," 22,679 "," 23,865.8 ", 1.0 , -   ," 88,072 "," 99,279.8 ", 0.9 , -   ,
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   ,
,Gonococcal infection,011, 15 , 426 , 41 , 279 , 99 , 11 , 306 , 133 ," 1,310 "," 1,456 ", 937 ," 23,646 "," 8,644 "," 7,200.0 ", 1.2 , -   ," 30,384 "," 30,306.4 ", 1.0 , -   ,
,Syphilis < 2 years,066, 1 , 54 , 22 , 31 , 19 , -   , 59 , 36 , 222 , 235 , 213 ," 4,094 "," 1,503 "," 1,308.2 ", 1.1 , -   ," 5,611 "," 5,168.4 ", 1.1 , -   ,
,Syphilis > 2 years or unspecified duration,067, -   , 7 , 3 , 3 , 2 , 1 , 51 , 4 , 71 , 72 , 78 ," 1,550 ", 477 , 551.0 , 0.9 , -   ," 2,069 "," 2,202.8 ", 0.9 , -   ,
,Syphilis congenital ,047, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 8 , 2 , 3.4 , 0.6 , -   , 11 , 10.0 , 1.1 , -   ,
Vaccine preventable diseases,Diphtheria,009, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 26 , 6 , 2.0 , 3.0 , 2.0 , 27 , 8.8 , 3.1 , 15.6 ,
,Haemophilus influenzae type b,012, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 9 , 5 , 5.2 , 1.0 , -   , 14 , 19.2 , 0.7 , -   ,
,Measles,021, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 2 , 1 , 16.4 , 0.1 , -   , 2 , 105.2 , 0.0 , -   ,
,Meningococcal disease (invasive),022, -   , 2 , -   , 1 , 2 , -   , -   , 2 , 7 , 4 , 1 , 81 , 38 , 63.2 , 0.6 , -   , 101 , 223.4 , 0.5 , -   ,
,Mumps,043, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 1 , 20 , 10 , 98.8 , 0.1 , -   , 25 , 385.8 , 0.1 , -   ,
,Pneumococcal disease (invasive),065, 1 , 32 , 5 , 17 , 16 , 2 , 19 , 16 , 108 , 114 , 58 ," 1,330 ", 738 , 624.8 , 1.2 , -   ," 1,634 "," 1,779.4 ", 0.9 , -   ,
,Poliovirus infection,026, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   ,
,Rotavirus,077, 3 , 102 , 22 , 299 , 29 , 1 , 44 , 8 , 508 , 359 , 114 ," 2,463 "," 1,466 "," 1,098.8 ", 1.3 , -   ," 3,950 "," 4,081.6 ", 1.0 , -   ,
,Rubella,029, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 1 , -   , 3 , 2 , 1.6 , 1.3 , -   , 4 , 9.0 , 0.4 , -   ,
,Rubella congenital,046, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   ,
,Tetanus,033, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1.2 , -   , -   , 1 , 4.6 , 0.2 , -   ,
,Varicella zoster (chickenpox),073, 6 , NN , 1 , -   , 8 , 3 , 19 , 11 , 48 , 74 , 71 , 935 , 350 , 935.0 , 0.4 , -   ," 1,468 "," 3,572.8 ", 0.4 , -   ,
,Varicella zoster (shingles),074, 29 , NN , 12 , 8 , 62 , 17 , 41 , 52 , 221 , 288 , 395 ," 5,659 "," 1,755 "," 3,186.2 ", 0.6 , -   ," 8,506 "," 13,171.2 ", 0.6 , -   ,
,Varicella zoster (unspecified),075, 3 , NN , 2 , 366 , 63 , 20 , 295 , 151 , 900 , 882 , 802 ," 14,493 "," 5,382 "," 3,824.2 ", 1.4 , -   ," 21,020 "," 14,593.6 ", 1.4 ," 1,313.7 ",
Respiratory diseases,Influenza (laboratory confirmed),062, 8 , 255 , 5 ," 4,455 ", 178 , 25 , 107 , 305 ," 5338 "," 1718 ", 28 ," 224,202 "," 74,473 "," 75,972.6 ", 1.0 , -   ," 224,422 "," 135,030.2 ", 1.7 , -   ,
,Legionellosis,015, 1 , 6 , -   , 5 , -   , 1 , 4 , 2 , 19 , 19 , 11 , 461 , 139 , 84.0 , 1.7 , 24.5 , 650 , 456.6 , 1.4 , 50.8 ,
,Pertussis,024, 1 , 2 , -   , 1 , -   , 1 , 10 , -   , 15 , 34 , 20 , 351 , 136 ," 1,832.6 ", 0.1 , -   , 488 ," 9,553.0 ", 0.1 , -   ,
,RSV,083, 56 ," 1,583 ", 228 , 444 ," 1,298 ", 629 , 452 ," 1,780 "," 6,470 "," 5,484 ", 75 ," 69,163 "," 51,455 ", 76.8 , 670.0 ," 51,034.7 "," 70,250 ", 76.8 , 914.7 ," 69,829.7 ",
,Tuberculosis,034, 1 , 24 , 1 , 10 , -   , -   , 10 , 8 , 54 , 52 , 54 , 831 , 298 , 373.4 , 0.8 , -   ," 1,232 "," 1,508.0 ", 0.8 , -   ,
Vectorborne diseases,Barmah Forest virus infection,048, -   , 2 , -   , 5 , -   , -   , -   , 2 , 9 , 13 , 9 , 228 , 64 , 94.6 , 0.7 , -   , 326 , 423.6 , 0.8 , -   ,
,Chikungunya virus infection,078, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 2 , -   , 19 , 10 , 12.4 , 0.8 , -   , 20 , 66.2 , 0.3 , -   ,
,Dengue virus infection,003, -   , 3 , -   , 3 , 2 , -   , 5 , 5 , 18 , 16 , -   , 188 , 124 , 150.6 , 0.8 , -   , 195 , 840.4 , 0.2 , -   ,
,Flavivirus infection (unspecified),001, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 2.4 , -   , -   , 1 , 16.6 , 0.1 , -   ,
,Japanese encephalitis virus infection**,059, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , - , -   , -   , -   , - ,
