ADT FN03/2023,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT^^,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,23/01/2023,26/12/2022,23/01/2022,01/01/2023,08/11/2022,,,,06/02/2022,06/02/2017,,
,,,,,,,,,,,05/02/2023,08/01/2023,05/02/2022,05/02/2023,05/02/2023,,,,05/02/2023,05/02/2022,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , 1 , -   , -   , -   , -   , -   , 1 , 2 , 5 , 2 , 9 , 18 , 31.2 , 0.6 , -   , 67 , 132.4 , 0.5 , -   
,Hepatitis B (unspecified),052, -   , 67 , 1 , 38 , 2 , -   , 50 , 15 , 173 , 203 , 178 , 452 ," 1,199 "," 1,199.4 ", 1.0 , -   ," 5,461 "," 5,366.8 ", 1.0 , -   
,Hepatitis C (newly acquired),040, -   , 1 , -   , 15 , 2 , -   , 1 , 1 , 20 , 22 , 16 , 53 , 138 , 166.2 , 0.8 , -   , 552 , 697.6 , 0.8 , -   
,Hepatitis C (unspecified),053, -   , 96 , -   , 68 , 1 , 3 , 51 , 39 , 258 , 254 , 210 , 587 ," 1,528 "," 1,863.2 ", 0.8 , -   ," 6,471 "," 8,588.8 ", 0.8 , -   
,Hepatitis D,050, -   , 2 , -   , 1 , -   , -   , -   , -   , 3 , 2 , 3 , 7 , 16 , 18.0 , 0.9 , -   , 70 , 75.6 , 0.9 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.6 , -   , -   , 3 , 2.2 , 1.4 , -   
,Campylobacteriosis,005, -   , 559 , 12 , 429 , 151 , 63 , 466 , 188 ," 1,868 "," 2,089 "," 1,495 "," 4,889 "," 12,004 "," 10,400.4 ", 1.2 , 853.6 ," 42,530 "," 34,577.8 ", 1.2 , 537.1 
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.4 , -   , -   , 4 , 1.0 , 4.0 , 1.0 
,Cryptosporidiosis,061, -   , 36 , 2 , 21 , 5 , -   , 16 , 6 , 86 , 110 , 61 , 232 , 495 , 644.0 , 0.8 , -   ," 2,091 "," 2,881.2 ", 0.7 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 2 , -   , 3 , 5 , 2.8 , 1.8 , -   , 12 , 13.4 , 0.9 , -   
,Hepatitis A,038, -   , 5 , -   , 3 , 1 , 1 , 3 , -   , 13 , 6 , 1 , 19 , 49 , 47.8 , 1.0 , -   , 160 , 201.4 , 0.8 , -   
,Hepatitis E,051, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 1 , -   , 3 , 5 , 4.8 , 1.0 , -   , 15 , 34.2 , 0.4 , -   
