ADT FN04/2023,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT^^,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,06/02/2023,09/01/2023,06/02/2022,01/01/2023,22/11/2022,,,,20/02/2022,20/02/2017,,
,,,,,,,,,,,19/02/2023,22/01/2023,19/02/2022,19/02/2023,19/02/2023,,,,19/02/2023,19/02/2022,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , -   , -   , 2 , -   , -   , -   , 2 , 4 , 2 , 1 , 14 , 20 , 30.2 , 0.7 , -   , 73 , 130.2 , 0.6 , -   
,Hepatitis B (unspecified),052, -   , 101 , -   , 51 , 3 , -   , 58 , 17 , 230 , 172 , 199 , 675 ," 1,195 "," 1,220.2 ", 1.0 , -   ," 5,472 "," 5,360.2 ", 1.0 , -   
,Hepatitis C (newly acquired),040, -   , -   , -   , 17 , -   , -   , 2 , 4 , 23 , 22 , 21 , 80 , 143 , 167.6 , 0.9 , -   , 562 , 694.2 , 0.8 , -   
,Hepatitis C (unspecified),053, -   , 117 , 2 , 59 , -   , 6 , 41 , 57 , 282 , 251 , 238 , 863 ," 1,527 "," 1,898.2 ", 0.8 , -   ," 6,619 "," 8,586.6 ", 0.8 , -   
,Hepatitis D,050, -   , 2 , -   , -   , -   , -   , -   , -   , 2 , 3 , 4 , 9 , 17 , 18.6 , 0.9 , -   , 68 , 76.4 , 0.9 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.6 , -   , -   , 3 , 2.0 , 1.5 , -   
,Campylobacteriosis,005, -   , 515 , 14 , 426 , 126 , 46 , 434 , 233 ," 1,794 "," 1,878 "," 1,479 "," 6,696 "," 11,879 "," 10,258.2 ", 1.2 ," 1,178.6 "," 42,872 "," 34,681.8 ", 1.2 ," 1,070.9 "
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.4 , -   , -   , 3 , 1.0 , 3.0 , -   
,Cryptosporidiosis,061, -   , 31 , 6 , 21 , 8 , -   , 14 , 13 , 93 , 86 , 71 , 326 , 513 , 719.4 , 0.7 , -   ," 2,114 "," 2,827.2 ", 0.7 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , -   , 4 , 5 , 2.4 , 2.1 , -   , 13 , 13.4 , 1.0 , -   
,Hepatitis A,038, -   , 5 , -   , 1 , 1 , -   , -   , 1 , 8 , 12 , 2 , 26 , 51 , 55.2 , 0.9 , -   , 165 , 199.0 , 0.8 , -   
,Hepatitis E,051, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , 4 , 5 , 5.4 , 0.9 , -   , 15 , 34.0 , 0.4 , -   
,Listeriosis,018, -   , 2 , -   , 3 , -   , -   , 1 , -   , 6 , 2 , 6 , 11 , 19 , 18.2 , 1.0 , -   , 87 , 58.0 , 1.5 , -   
,Paratyphoid,080, -   , 2 , -   , -   , 2 , -   , 4 , 2 , 10 , 5 , -   , 21 , 28 , 18.4 , 1.5 , -   , 70 , 59.6 , 1.2 , -   
,Salmonellosis,030, -   , 141 , 24 , 166 , 25 , 19 , 89 , 123 , 587 , 613 , 585 ," 2,016 "," 3,157 "," 4,059.4 ", 0.8 , -   ," 10,568 "," 13,394.6 ", 0.8 , -   
,Shigellosis,031, -   , 45 , 8 , 19 , 10 , -   , 29 , 22 , 133 , 132 , 20 , 408 , 604 , 534.6 , 1.1 , -   ," 1,692 "," 1,881.2 ", 0.9 , -   
,STEC"",054, -   , 2 , -   , -   , 8 , 1 , 6 , 17 , 34 , 58 , 38 , 143 , 242 , 188.2 , 1.3 , -   , 886 , 590.2 , 1.5 , 133.5 
