ADT FN06/2023,,,Notification received date,,,,,,,,,,,,,,,,,,,
,,,State or Territory,,,,,,,,Totals for Australia,,,,Historical 90 Day Period,,,,Historical Yearly Period,,,
Disease group,Disease name,Disease code,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,This reporting period,Previous reporting Period,Same reporting period last year,"Current year
YTD",Past Quarter,"Quarterly rolling 
5 year mean",Ratio past quarter/5 year mean*,Exceeds quarterly rolling mean +2 SD by,Past Year,"Yearly rolling 
5 year mean",Ratio past  year/5 year mean*,Exceeds yearly rolling mean +2 SD by
,,,,,,,,,,,06/03/2023,06/02/2023,06/03/2022,01/01/2023,20/12/2022,,,,20/03/2022,20/03/2017,,
,,,,,,,,,,,19/03/2023,19/02/2023,19/03/2022,19/03/2023,19/03/2023,,,,19/03/2023,19/03/2022,,
Bloodborne diseases,Hepatitis B (newly acquired),039, -   , 3 , 1 , -   , -   , -   , -   , -   , 4 , 4 , 1 , 20 , 21 , 26.2 , 0.8 , -   , 77 , 127.4 , 0.6 , -   
,Hepatitis B (unspecified),052, -   , 80 , -   , 34 , 3 , 1 , 50 , 21 , 189 , 255 , 220 ," 1,126 "," 1,240 "," 1,275.2 ", 1.0 , -   ," 5,487 "," 5,354.8 ", 1.0 , -   
,Hepatitis C (newly acquired),040, -   , 1 , -   , 20 , -   , -   , 1 , 3 , 25 , 18 , 13 , 127 , 140 , 152.4 , 0.9 , -   , 573 , 692.6 , 0.8 , -   
,Hepatitis C (unspecified),053, -   , 134 , 4 , 78 , 1 , 5 , 40 , 38 , 300 , 289 , 273 ," 1,466 "," 1,633 "," 1,918.0 ", 0.9 , -   ," 6,694 "," 8,541.4 ", 0.8 , -   
,Hepatitis D,050, -   , 2 , -   , -   , -   , -   , 1 , -   , 3 , 4 , 3 , 18 , 19 , 16.6 , 1.1 , -   , 73 , 77.0 , 0.9 , -   
Gastrointestinal diseases,Botulism,045, -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , 1 , 1 , 1.2 , 0.8 , -   , 3 , 2.2 , 1.4 , -   
,Campylobacteriosis,005, -   , 440 , 18 , 432 , 105 , 50 , 390 , 211 ," 1,646 "," 1,737 "," 1,455 "," 10,097 "," 11,332 "," 9,821.4 ", 1.2 , 645.9 ," 43,398 "," 34,932.0 ", 1.2 ," 1,497.3 "
,Cholera,008, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , 3 , 1.0 , 3.0 , -   
,Cryptosporidiosis,061, -   , 22 , 11 , 25 , 5 , -   , 16 , 8 , 87 , 92 , 67 , 505 , 554 , 860.0 , 0.6 , -   ," 2,169 "," 2,671.2 ", 0.8 , -   
,Haemolytic uraemic syndrome (HUS),055, -   , -   , -   , 3 , -   , -   , -   , -   , 3 , -   , -   , 8 , 8 , 3.0 , 2.7 , -   , 19 , 13.2 , 1.4 , -   
,Hepatitis A,038, -   , 2 , -   , 2 , 1 , -   , 11 , 1 , 17 , 17 , 4 , 61 , 66 , 58.6 , 1.1 , -   , 193 , 198.6 , 1.0 , -   
,Hepatitis E,051, -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 1 , 7 , 7 , 9.0 , 0.8 , -   , 17 , 33.8 , 0.5 , -   
,Listeriosis,018, -   , -   , -   , 1 , -   , -   , 4 , 1 , 6 , 3 , 4 , 20 , 23 , 20.2 , 1.1 , -   , 92 , 57.4 , 1.6 , -   
,Paratyphoid,080, -   , 2 , -   , 1 , -   , 1 , 3 , 2 , 9 , 11 , 4 , 41 , 43 , 26.0 , 1.7 , -   , 83 , 59.4 , 1.4 , -   
,Salmonellosis,030, -   , 139 , 16 , 179 , 36 , 18 , 73 , 67 , 528 , 536 , 639 ," 3,078 "," 3,382 "," 4,500.0 ", 0.8 , -   ," 10,446 "," 13,236.4 ", 0.8 , -   
,Shigellosis,031, -   , 39 , 4 , 30 , 12 , 2 , 23 , 16 , 126 , 134 , 43 , 670 , 715 , 557.2 , 1.3 , -   ," 1,882 "," 1,874.4 ", 1.0 , -   
,STEC"",054, -   , 7 , 1 , 1 , 14 , 2 , 5 , 9 , 39 , 38 , 34 , 220 , 249 , 188.4 , 1.3 , -   , 901 , 590.8 , 1.5 , 125.1 
,Typhoid Fever,035, -   , 7 , 1 , 4 , 2 , 1 , 6 , 3 , 24 , 25 , 9 , 96 , 101 , 51.0 , 2.0 , -   , 238 , 124.2 , 1.9 , -   
Listed Human diseases,Avian influenza in humans (AIH),076, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,COVID-19,081, 928 ," 17,035 ", 254 ," 7,332 "," 4,594 "," 1,388 "," 7,913 "," 5,347 "," 44,791 "," 35,719 "," 481,896 "," 265,641 "," 412,359 "," 642,822.2 ", 0.6 , -   ," 7,648,346 "," 700,684.8 ", 10.9 ," 3,847,144.9 "
,Middle East respiratory syndrome coronavirus (MERS-CoV),079, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Plague,025, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Severe acute respiratory syndrome (SARS),071, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Smallpox,069, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Viral haemorrhagic fever (NEC),036, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Yellow fever,041, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
Sexually transmissible infections,Chlamydial infection,007, -   ," 1,324 ", 33 ," 1,042 ", 246 , 65 , 997 , 479 ," 4,186 "," 4,450 "," 3,752 "," 23,934 "," 26,323 "," 24,356.8 ", 1.1 , -   ," 99,996 "," 97,780.4 ", 1.0 , -   
,Donovanosis,010, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Gonococcal infection,011, -   , 505 , 27 , 364 , 72 , 11 , 381 , 134 ," 1,494 "," 1,615 "," 1,253 "," 8,652 "," 9,622 "," 7,826.0 ", 1.2 , 12.2 ," 35,960 "," 30,187.4 ", 1.2 , -   
,Syphilis < 2 years,066, -   , 81 , 7 , 45 , 15 , -   , 67 , 25 , 240 , 271 , 200 ," 1,461 "," 1,606 "," 1,296.8 ", 1.2 , 114.0 ," 6,601 "," 5,360.0 ", 1.2 , 168.4 
,Syphilis > 2 years or unspecified duration,067, -   , 14 , 3 , 3 , -   , -   , 49 , 8 , 77 , 97 , 109 , 469 , 534 , 553.4 , 1.0 , -   ," 2,441 "," 2,276.6 ", 1.1 , -   
,Syphilis congenital ,047, -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 2 , 2 , 2.8 , 0.7 , -   , 13 , 11.4 , 1.1 , -   
Vaccine preventable diseases,Diphtheria,009, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 1 , 1 , 4 , 4 , 2.8 , 1.4 , -   , 33 , 8.8 , 3.8 , 20.9 
,Haemophilus influenzae type b,012, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 3 , 3 , 5.0 , 0.6 , -   , 15 , 19.2 , 0.8 , -   
,Measles,021, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 3 , 3 , 23.2 , 0.1 , -   , 10 , 94.4 , 0.1 , -   
,Meningococcal disease (invasive),022, -   , 1 , -   , -   , 1 , -   , 1 , -   , 3 , 3 , -   , 24 , 31 , 33.4 , 0.9 , -   , 133 , 197.4 , 0.7 , -   
,Mumps,043, -   , 1 , -   , 2 , -   , -   , -   , 1 , 4 , 2 , 1 , 12 , 13 , 72.2 , 0.2 , -   , 55 , 336.4 , 0.2 , -   
,Pneumococcal disease (invasive),065, -   , 16 , -   , 8 , 10 , 1 , 14 , 2 , 51 , 52 , 35 , 272 , 326 , 268.6 , 1.2 , -   ," 1,955 "," 1,721.0 ", 1.1 , -   
,Poliovirus infection,026, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Rotavirus,077, -   , 106 , 1 , 54 , 56 , -   , 36 , 67 , 320 , 310 , 78 ," 1,927 "," 2,345 ", 698.0 , 3.4 , 999.0 ," 7,695 "," 4,163.4 ", 1.8 , -   
,Rubella,029, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2.8 , -   , -   , 3 , 8.8 , 0.3 , -   
,Rubella congenital,046, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Tetanus,033, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.8 , -   , -   , 1 , 3.6 , 0.3 , -   
,Varicella zoster (chickenpox),073, -   , NN , 2 , 3 , 13 , -   , 28 , 12 , 58 , 83 , 62 , 353 , 398 , 715.2 , 0.6 , -   ," 1,592 "," 3,399.4 ", 0.5 , -   
,Varicella zoster (shingles),074, -   , NN , 15 , 14 , 64 , -   , 75 , 76 , 244 , 277 , 349 ," 1,601 "," 1,784 "," 3,428.6 ", 0.5 , -   ," 7,953 "," 13,307.2 ", 0.6 , -   
,Varicella zoster (unspecified),075, -   , NN , 1 , 401 , 49 , 31 , 337 , 119 , 938 ," 1,035 ", 846 ," 5,187 "," 5,832 "," 3,574.4 ", 1.6 , 587.6 ," 21,625 "," 15,137.8 ", 1.4 , -   
Respiratory diseases,Influenza (laboratory confirmed),062, 16 ," 1,214 ", 154 ," 1,163 ", 251 , 23 , 671 , 238 ," 3,730 "," 2,704 ", 111 ," 13,292 "," 14,913 "," 10,464.4 ", 1.4 , -   ," 246,243 "," 128,067.6 ", 1.9 , -   
,Legionellosis,015, -   , 12 , -   , 6 , 1 , -   , 2 , 3 , 24 , 26 , 28 , 129 , 146 , 136.8 , 1.1 , -   , 678 , 488.0 , 1.4 , 53.9 
,Pertussis,024, -   , 2 , -   , 2 , -   , 1 , 7 , 3 , 15 , 14 , 22 , 101 , 108 ," 1,685.8 ", 0.1 , -   , 465 ," 7,685.8 ", 0.1 , -   
,RSV,083, 18 ," 1,543 ", 10 ," 1,101 ", 130 , 6 , 338 , 60 ," 3,206 "," 2,264 ", 220 ," 9,481 "," 10,236 ", - , - , - ," 103,416 ", - , - , - 
,Tuberculosis,034, -   , 19 , -   , 9 , -   , -   , 9 , 6 , 43 , 47 , 38 , 282 , 320 , 330.4 , 1.0 , -   ," 1,377 "," 1,499.6 ", 0.9 , -   
Vectorborne diseases,Barmah Forest virus infection,048, -   , 4 , -   , 12 , -   , -   , -   , -   , 16 , 23 , 20 , 105 , 114 , 96.8 , 1.2 , -   , 348 , 429.8 , 0.8 , -   
,Chikungunya virus infection,078, -   , -   , -   , 1 , -   , -   , -   , 1 , 2 , 3 , -   , 13 , 14 , 14.6 , 1.0 , -   , 46 , 51.8 , 0.9 , -   
,Dengue virus infection,003, -   , 13 , -   , 3 , -   , -   , -   , 5 , 21 , 33 , 3 , 152 , 159 , 172.2 , 0.9 , -   , 574 , 688.6 , 0.8 , -   
,Flavivirus infection (unspecified),001, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1.8 , -   , -   , 4 , 9.2 , 0.4 , -   
,Japanese encephalitis virus infection,059, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 12 , -   , -   , -   , -   , - , 14 , -   , -   , - 
,Malaria,020, -   , 2 , -   , 1 , -   , 2 , 7 , 3 , 15 , 21 , 7 , 94 , 101 , 64.0 , 1.6 , -   , 271 , 258.8 , 1.0 , -   
,Murray Valley encephalitis virus infection,049, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 2 , -   , 7 , 7 , -   ,  , 7.0 , 8 , 0.4 , 20.0 , 6.5 
,Ross River virus infection,002, -   , 18 , 6 , 39 , 7 , -   , 14 , 12 , 96 , 126 , 267 , 670 , 720 , 997.8 , 0.7 , -   ," 1,998 "," 4,186.4 ", 0.5 , -   
,West Nile/Kunjin virus infection,060, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , 1.4 , -   , -   
Zoonoses,Anthrax,058, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Australian bat lyssavirus infection,063, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Brucellosis,004, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 3 , 3 , 5.4 , 0.6 , -   , 14 , 18.8 , 0.7 , -   
,Leptospirosis,017, -   , 1 , -   , 9 , -   , -   , -   , -   , 10 , 8 , 6 , 51 , 59 , 41.8 , 1.4 , -   , 221 , 158.2 , 1.4 , -   
,Lyssavirus infection (NEC),064, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Monkeypox virus (MPXV) infection,084, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 1 , -   ,  , 1.0 , 145 , -   ,  , 145.0 
,Ornithosis,023, -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 1 , 6 , 7 , 4.4 , 1.6 , -   , 47 , 31.0 , 1.5 , -   
,Q fever,027, -   , 7 , -   , 8 , -   , -   , -   , 1 , 16 , 14 , 27 , 92 , 101 , 136.4 , 0.7 , -   , 457 , 514.8 , 0.9 , -   
,Rabies,028, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , -   ,  , -   
,Tularaemia,070, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,  , -   , -   , 0.4 , -   , -   
Other notifiable diseases,iGAS,082, -   , 21 , 5 , 27 , 3 , -   , 14 , 5 , 75 , 72 , 22 , 481 , 578 , - , - , - ," 1,493 ", - , - , - 
,Leprosy,016, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 0.6 , 1.7 , -   , 9 , 9.0 , 1.0 , -   
,,, 962 ," 22,818 ", 574 ," 12,460 "," 5,692 "," 1,608 "," 11,583 "," 6,988 "," 62,685 "," 52,446 "," 492,138 "," 352,067 "," 508,307 ",,,," 8,264,603 ",,,
"Footnotes:                    
* Ratio of the 90 day prior surveillance period to the past 90 day 5 year rolling mean, or ratio of the year period prior surveillance period to the year period 5 year rolling mean.                   
NN = Not Notifiable, NEC = Not Elsewhere Classified",,,,,,,,,,,,,,,,,,,,,,
"The data in this report are reliant on the provision of data from states and territories to the Australian Government Department of Health. Backlogs in notifications at the state or territory level may contribute to delays in reporting to the NNDSS. Notifications for some high volume conditions are only uploaded quarterly by some jurisdictions, which can result in apparent large variability over time. The NNDSS is a dynamic dataset, with data in this report representing data available on (27/03/2023). Data in this report are subject to retrospective revision and may vary from data reported in published NNDSS reports and reports of notification data by states and territories.",,,,,,,,,,,,,,,,,,,,,,
""""" Please note that changes in laboratory testing protocols in some states are influencing case ascertainment.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
